Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram
81, 83.6598082540901,nan,nan,196.0,332.0,228.0,44.0,0.018032324
82, 83.6598082540901,nan,nan,196.0,332.0,228.0,36.0,0.0009704763
83, 29.228051943145132,nan,nan,188.0,180.0,244.0,44.0,0.026792157
84, nan,nan,nan,196.0,324.0,228.0,36.0,0.0016836936
85, nan,nan,nan,196.0,332.0,228.0,44.0,0.006780722
86, 51.34019174590991,nan,nan,196.0,332.0,nan,nan,0.0010639464
87, nan,nan,nan,196.0,332.0,228.0,44.0,0.00027712336
88, 83.6598082540901,nan,nan,196.0,324.0,228.0,52.0,0.0740255
89, nan,nan,nan,196.0,324.0,nan,nan,0.031693723
90, nan,nan,nan,196.0,324.0,nan,nan,0.0327693
91, nan,nan,nan,196.0,332.0,nan,nan,0.030385632
92, nan,nan,nan,196.0,332.0,nan,nan,0.029212754
93, nan,nan,nan,196.0,332.0,nan,nan,0.0028711339
94, nan,nan,nan,196.0,332.0,nan,nan,0.0263355
95, 30.96375653207352,nan,nan,196.0,332.0,236.0,108.0,0.021463413
96, 80.7273982227997,nan,nan,180.0,228.0,252.0,124.0,0.022396535
97, 47.72631099390627,nan,nan,212.0,252.0,252.0,124.0,0.0019606678
98, 69.14554196042165,nan,nan,180.0,228.0,252.0,132.0,0.0036927182
99, 90.0,nan,nan,180.0,236.0,252.0,140.0,0.014916568
100, 85.60129464500447,nan,140.0,204.0,332.0,204.0,324.0,0.017054
101, 42.87890360333855,45.0,nan,204.0,332.0,244.0,140.0,0.018189996
102, 38.48019824834302,0.0,nan,204.0,332.0,244.0,140.0,0.0007625329
103, 32.471192290848485,nan,nan,204.0,332.0,244.0,140.0,0.006077201
104, 80.75388725443676,nan,140.0,204.0,332.0,204.0,332.0,0.003088295
105, 74.74488129694222,nan,140.0,204.0,332.0,204.0,332.0,0.014070166
