Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRHipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLHipSignal, pgram_all, combined_signal, rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
0,,,,,,,,,,,,,,,,,,,,,,,
1,81.8698959350586,nan,220.0,148.0,212.0,164.0,100.0,0.00017200368165504187,0.21488504111766815,0.27874645590782166,0.009398548863828182,0.06649301201105118,0.4787490963935852,0.21174736320972443,3.232903003692627,4.5514044761657715,0.9096655249595642,0.7951672077178955,0.8461538553237915,0.5211267471313477,0.6235294342041016,0.5616438388824463,0.29411765933036804
2,77.47119140625,71.56504821777344,100.0,180.0,228.0,188.0,100.0,0.3576795756816864,0.16789552569389343,0.17503772675991058,0.033539216965436935,0.1371350735425949,0.5172494649887085,0.044308945536613464,3.2451508045196533,4.2829179763793945,0.860791027545929,0.7951672077178955,0.38461539149284363,0.6338028311729431,0.6705882549285889,0.6438356041908264,0.29411765933036804
3,75.96375274658203,81.8698959350586,92.0,236.0,308.0,236.0,308.0,0.016544220969080925,0.025093281641602516,0.273032546043396,0.12855401635169983,0.04768350347876549,0.08124476671218872,0.007555028889328241,3.3536081314086914,5.558522701263428,0.8440417051315308,0.9096655249595642,0.35384616255760193,0.8309859037399292,0.9058823585510254,0.8082191944122314,0.9058823585510254
4,79.69515228271484,75.96375274658203,92.0,236.0,308.0,236.0,300.0,0.11881425231695175,0.1356658786535263,0.0068024154752492905,0.019309556111693382,0.26425307989120483,0.00781398918479681,0.26535144448280334,3.455345630645752,5.510829925537109,0.8855016827583313,0.8440417051315308,0.35384616255760193,0.8309859037399292,0.9058823585510254,0.8082191944122314,0.8823529481887817
5,74.74488067626953,75.96375274658203,92.0,236.0,308.0,236.0,308.0,0.8370691537857056,0.060411565005779266,0.25585779547691345,0.05511666461825371,0.26313480734825134,0.032119713723659515,0.38298752903938293,2.5417134761810303,5.479356288909912,0.8304986953735352,0.8440417051315308,0.35384616255760193,0.8309859037399292,0.9058823585510254,0.8082191944122314,0.9058823585510254
6,75.96375274658203,nan,nan,228.0,300.0,164.0,100.0,0.3144373595714569,0.5348795056343079,0.2225981056690216,0.00012818697723560035,2.1561487301369198e-05,0.07164335250854492,0.0012444094754755497,2.6177914142608643,4.691390514373779,0.8440417051315308,0.8500075340270996,0.4564102590084076,0.8028169274330139,0.8823529481887817,0.5616438388824463,0.29411765933036804
7,nan,nan,nan,180.0,92.0,204.0,172.0,2.39237642288208,1.1540334980963962e-06,0.6970855593681335,0.0475744865834713,0.9488310217857361,0.20617806911468506,0.9541235566139221,0.7920181155204773,4.367892742156982,0.8440417051315308,0.8559733033180237,0.5589743256568909,0.6338028311729431,0.2705882489681244,0.698630154132843,0.5058823823928833
8,75.96375274658203,nan,172.0,236.0,300.0,164.0,100.0,0.10735359787940979,0.7276184558868408,0.0006355085643008351,0.018467407673597336,0.06982345134019852,0.04890270531177521,0.09012643992900848,1.4152566194534302,4.936619281768799,0.8440417051315308,0.8619391322135925,0.6615384817123413,0.8309859037399292,0.8823529481887817,0.5616438388824463,0.29411765933036804
9,83.99099731445312,nan,nan,204.0,212.0,188.0,92.0,0.028482282534241676,0.0001903913653222844,0.06685876101255417,0.00012125841021770611,0.23786762356758118,0.0003024512261617929,0.055279213935136795,1.8533127307891846,4.680478572845459,0.9332333207130432,0.8679049015045166,0.6230769157409668,0.7183098793029785,0.6235294342041016,0.6438356041908264,0.2705882489681244
10,81.8698959350586,nan,nan,236.0,300.0,164.0,100.0,0.015309053473174572,0.09164591133594513,0.12899135053157806,0.004234800115227699,0.018125372007489204,0.049879033118486404,0.21551117300987244,1.9721399545669556,4.937251567840576,0.9096655249595642,0.8738707900047302,0.5846154093742371,0.8309859037399292,0.8823529481887817,0.5616438388824463,0.29411765933036804
11,90.0,nan,nan,228.0,308.0,164.0,100.0,0.2823718190193176,0.04989834874868393,0.08699852228164673,0.0013352257665246725,0.07407817989587784,0.006143531296402216,0.06562070548534393,1.9349018335342407,4.990450382232666,1.0,0.8798364996910095,0.5461538434028625,0.8028169274330139,0.9058823585510254,0.5616438388824463,0.29411765933036804
12,75.96375274658203,nan,nan,228.0,300.0,156.0,100.0,0.19423043727874756,0.41918420791625977,0.17153246700763702,0.006162488367408514,0.008343083783984184,0.013608819805085659,0.4617369771003723,1.8795409202575684,4.751070022583008,0.8440417051315308,0.8858023881912231,0.5076923370361328,0.8028169274330139,0.8823529481887817,0.534246563911438,0.29411765933036804
13,50.9061393737793,nan,nan,236.0,308.0,180.0,92.0,0.010474899783730507,0.20178015530109406,0.12074901163578033,0.016931800171732903,0.00025425595231354237,0.005101977381855249,0.2412932813167572,1.4864221811294556,4.550517559051514,0.5656237602233887,0.8917681574821472,0.4692307710647583,0.8309859037399292,0.9058823585510254,0.6164383292198181,0.2705882489681244
14,81.8698959350586,nan,nan,236.0,308.0,164.0,100.0,0.004310875199735165,1.2001173496246338,0.09308397024869919,0.02070874534547329,0.012510768137872219,0.008740514516830444,0.20878365635871887,0.8558135032653809,4.830798625946045,0.9096655249595642,0.8977339267730713,0.4307692348957062,0.8309859037399292,0.9058823585510254,0.5616438388824463,0.29411765933036804
15,81.8698959350586,nan,nan,236.0,308.0,164.0,100.0,0.00015880809223745018,0.002757253823801875,0.1971091479063034,0.028394142165780067,0.028858400881290436,0.006021071225404739,0.8005896210670471,0.30764687061309814,4.798302173614502,0.9096655249595642,0.9036997556686401,0.39230769872665405,0.8309859037399292,0.9058823585510254,0.5616438388824463,0.29411765933036804
16,61.88679122924805,81.8698959350586,92.0,236.0,308.0,236.0,308.0,0.08775198459625244,0.09605161100625992,0.020209835842251778,0.009857612662017345,9.075620619114488e-05,0.12574583292007446,0.3224864602088928,0.12786737084388733,5.4021124839782715,0.6876310110092163,0.9096655249595642,0.35384616255760193,0.8309859037399292,0.9058823585510254,0.8082191944122314,0.9058823585510254
17,18.434947967529297,nan,nan,180.0,92.0,204.0,172.0,0.007846838794648647,0.011716881766915321,0.01709866151213646,0.016233595088124275,0.0028895284049212933,0.001193548203445971,0.016950342804193497,0.12781688570976257,3.5563158988952637,0.2048327624797821,0.8810409307479858,0.36153846979141235,0.6338028311729431,0.2705882489681244,0.698630154132843,0.5058823823928833
18,18.434947967529297,nan,nan,180.0,92.0,212.0,172.0,0.01647731103003025,0.045400071889162064,0.07158157229423523,0.0029784818179905415,0.17098212242126465,0.002863863715901971,0.09052880853414536,0.12373759597539902,3.5627803802490234,0.2048327624797821,0.8524163961410522,0.3692307770252228,0.6338028311729431,0.2705882489681244,0.7260273694992065,0.5058823823928833
19,18.434947967529297,nan,nan,180.0,92.0,204.0,172.0,0.0003932870749849826,0.21900053322315216,0.018581584095954895,4.092094604857266e-05,0.0848715528845787,0.000269871175987646,0.09721536934375763,0.21089796721935272,3.514451026916504,0.2048327624797821,0.8237918615341187,0.3769230842590332,0.6338028311729431,0.2705882489681244,0.698630154132843,0.5058823823928833
20,90.0,71.56504821777344,100.0,180.0,228.0,188.0,100.0,0.14853240549564362,0.07434383034706116,0.09628567844629288,0.0009157680906355381,0.06447308510541916,1.1079064421437579e-07,0.05246161296963692,0.3155449330806732,4.422126770019531,1.0,0.7951672077178955,0.38461539149284363,0.6338028311729431,0.6705882549285889,0.6438356041908264,0.29411765933036804
21,75.96375274658203,nan,nan,236.0,308.0,164.0,100.0,0.04073765501379967,0.08453301340341568,0.0002345012326259166,0.00036160534364171326,0.018338605761528015,0.010288793593645096,0.11560049653053284,0.4868069291114807,4.794498920440674,0.8440417051315308,0.8347505927085876,0.5230769515037537,0.8309859037399292,0.9058823585510254,0.5616438388824463,0.29411765933036804
22,75.96375274658203,78.69007110595703,172.0,244.0,308.0,164.0,100.0,0.2967712879180908,0.23486021161079407,0.04016624763607979,0.03531176596879959,0.001998456660658121,0.0012056176783517003,0.016328033059835434,0.4507594704627991,5.000712871551514,0.8440417051315308,0.8743340969085693,0.6615384817123413,0.8591549396514893,0.9058823585510254,0.5616438388824463,0.29411765933036804
23,nan,nan,nan,180.0,92.0,212.0,172.0,0.07971230894327164,0.009840337559580803,0.002296987222507596,0.00015401624841615558,0.002067177090793848,0.00014387961709871888,0.036147456616163254,0.45119112730026245,4.28255033493042,0.6367976069450378,0.8730883002281189,0.6363636255264282,0.6338028311729431,0.2705882489681244,0.7260273694992065,0.5058823823928833
24,38.65980911254883,nan,nan,180.0,100.0,212.0,164.0,0.029250897467136383,0.014576186425983906,0.02902352064847946,0.004481942858546972,0.14885573089122772,0.0018366125877946615,0.012507803738117218,0.4553077518939972,4.048885822296143,0.42955344915390015,0.871842622756958,0.6111888289451599,0.6338028311729431,0.29411765933036804,0.7260273694992065,0.48235294222831726
25,60.25511932373047,nan,nan,180.0,92.0,212.0,164.0,0.08351586014032364,0.1849290132522583,0.0626477524638176,0.0032426577527076006,0.04214823246002197,0.002186775440350175,0.0011678194859996438,0.3626566231250763,4.2388834953308105,0.6695013046264648,0.8705968260765076,0.5860139727592468,0.6338028311729431,0.2705882489681244,0.7260273694992065,0.48235294222831726
