Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRHipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLHipSignal, pgram_all, combined_signal, rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
134,nan,nan,nan,nan,nan,nan,nan,0.02706736,6.807273388,0.765339136,390.8916321,6356.318848,1270.679565,371.9330444,6390.237793,1158.318359,41.13887787,61.65955734,167.5200043,209.7142792,238.2857208,233.3333282,206.6666718
135,nan,nan,nan,nan,nan,nan,nan,18.03885078,0.373993188,0.27419737,348.0609436,1383.644287,24.90931129,7022.019043,6145.839844,1158.381592,35.17308807,62.03507996,167.8399963,214.2857208,241.7142792,227.1111145,210.222229
136,nan,nan,nan,nan,nan,nan,nan,125.3235626,45.32813644,2.258080244,3.593807459,60.85636139,247.9216614,813.3046875,6093.388184,1158.44458,29.20729828,62.41060257,168.1600037,218.8571472,245.1428528,220.8888855,213.777771
137,nan,nan,nan,nan,nan,nan,nan,2.738321781,0.809717596,7.819598198,272.2129211,3981.162842,712.2683716,4242.537598,4986.633789,1158.50769,23.24151039,62.78612518,168.4799957,223.4285736,248.5714264,214.6666718,217.3333282
138,nan,nan,nan,228,252,nan,nan,62.02521133,1.63179481,3.667519093,194.7048798,1.978096843,40.47808456,229.1447144,7184.590332,1158.570679,17.2757206,63.1616478,168.8000031,228,252,208.4444427,220.8888855
139,11.30993271,nan,nan,212,316,nan,nan,73.7613678,104.5921631,5.704739571,193.8850861,289.4838562,1526.955078,18787.05859,6838.900879,1198.633789,11.30993271,63.53717041,169.1199951,212,316,202.222229,224.4444427
140,47.12109756,nan,nan,228,236,196,228,13.74182987,36.35775375,0.667977571,75.28949738,1000.790466,23.44142342,2020.969727,6124.200684,1168.473755,47.12109756,63.91269302,169.4400024,228,236,196,228
141,90,nan,nan,212,316,188,220,21.20249367,4.907858372,1.8362993,12.80137253,4843.333496,23.30997658,25.10805702,6727.822754,1260.048218,90,64.28821564,169.7599945,212,316,188,220
142,21.37062263,nan,nan,212,316,nan,nan,347.0235596,3.450517416,0.697308242,157.0266113,550.7635498,142.7469025,114.3444824,7114.134277,1198.11438,21.37062263,64.66373444,170.0800018,212,316,190,224
143,19.23067284,nan,nan,236,276,nan,nan,1.342210293,5.787260056,1.001174331,171.4317017,3485.144043,111.2762985,1897.092163,8162.486328,1186.669922,19.23067284,65.03926086,170.3999939,236,276,192,228
144,nan,nan,nan,268,180,nan,nan,11.84331322,1.572173953,6.097184181,1659.643921,5510.050293,270.7930298,745.4193115,10028.05566,1126.590332,16.45553017,65.41477966,170.7200012,268,180,194,232
145,nan,nan,nan,236,244,196,236,0.015041077,18.78277016,4.274780273,24.28929901,13826.48535,388.4023132,1094.67041,9037.987305,1162.510742,13.6803875,65.79030609,171.0399933,236,244,196,236
146,nan,nan,nan,268,236,212,316,0.372908771,2.241688967,5.60987854,160.5039215,2.29341507,4.945061684,3.648638725,9282.152344,1280.43103,10.90524483,66.16582489,171.3600006,268,236,212,316
147,8.130102158,nan,nan,300,204,260,180,2.474413157,38.98126984,1.020363331,73.44326782,7489.352539,11.8470068,11.79718494,12291.66895,1190.35144,8.130102158,66.54135132,171.6799927,300,204,260,180
148,90,nan,172,212,324,180,228,17.81536293,13.90264893,0.202264264,21.86014748,1092.540283,415.34729,1159.251099,12257.21484,1272.91687,90,66.91687012,172,212,324,180,228
149,84.80557251,nan,180,212,324,188,220,187.8445282,18.58824539,3.20223403,79.55618286,850.519104,276.6088867,1568.632446,12029.35254,1276.0979,84.80557251,67.29239655,180,212,324,188,220
150,nan,nan,nan,236,180,212,324,7.60553503,51.81427002,0.075091474,2.848965406,8644.923828,187.5397644,5876.679688,7837.286133,1285.421875,77.75400543,67.66791534,188,236,180,212,324
151,nan,nan,196,276,180,236,244,215.1160889,23.5933094,2.614139795,262.955719,4282.294922,29.43769073,721.380188,5654.311523,1270.74585,70.70243073,68.04344177,196,276,180,236,244
152,nan,nan,nan,nan,nan,nan,nan,319.1881409,0.992348015,0.481324315,8.150319099,1696.75293,253.6461792,5.277400494,5688.638672,1284.603149,63.65086365,68.41896057,194.9333344,263.2000122,208.8000031,233.6000061,252
153,nan,nan,nan,nan,nan,nan,nan,281.6531372,5.913993835,2.783674479,235.4201508,3274.565918,49.68513489,8152.45459,1699.254761,1298.460327,56.59929657,68.794487,193.8666687,250.3999939,237.6000061,231.1999969,260
154,nan,nan,nan,nan,nan,nan,nan,16.87039757,23.06685829,0.957138896,678.0045166,0.000857571,21.58645439,375.6338501,1331.145386,1312.317749,49.54772568,69.1700058,192.8000031,237.6000061,266.3999939,228.8000031,268
155,nan,nan,nan,nan,nan,nan,nan,1.154854417,0.089026079,0.999325156,169.2400055,7699.88623,87.51516724,17.28786087,2440.873047,1326.175049,42.4961586,69.54553223,191.7333374,224.8000031,295.2000122,226.3999939,276
156,nan,nan,nan,212,324,nan,nan,47.80289459,2.294687748,2.001394272,106.6471405,4.381872177,247.4103699,54.77763367,2742.90332,1340.032349,35.44458771,69.92105103,190.6666718,212,324,224,284
157,28.39301872,nan,nan,228,284,nan,nan,83.67028809,14.47517586,1.269831181,17.68539619,248.2111816,33.29595566,40.04798126,8128.938965,1313.889648,28.39301872,70.29657745,189.6000061,228,284,221.6000061,292
158,21.37062263,nan,nan,212,324,nan,nan,24.63619995,2.058236599,0.720407963,40.03089523,5164.586426,286.9068604,220.3183746,8658.300781,1335.776001,21.37062263,70.67209625,188.5333405,212,324,219.1999969,300
159,25.76932716,nan,nan,212,324,nan,nan,6.508719444,2.871037483,1.103896499,754.4454956,2175.968506,901.5408936,1492.995239,8672.287109,1345.083618,25.76932716,71.04762268,187.4666595,212,324,216.8000031,308
160,nan,nan,nan,nan,nan,nan,nan,7.088716984,16.11308289,3.86500001,1032.692261,2684.751465,355.334137,135.2589569,9372.134766,1292.40271,32.17955017,71.42314148,186.3999939,220,252,214.3999939,316
161,nan,nan,nan,228,180,212,324,144.8845825,9.632209778,6.898892879,787.65625,4550.455078,22.13261032,29.539608,7519.080078,1239.721802,38.58977509,71.79866791,185.3333282,228,180,212,324
162,45,nan,nan,212,324,268,180,6.91303587,39.16957855,0.231465936,212.3533478,3086.949463,126.2451401,1109.79541,7229.517578,1285.440918,45,72.17418671,184.2666626,212,324,268,180
163,26.56505203,nan,nan,228,276,276,180,30.96515465,29.79270935,0.087870799,1280.124878,7446.90918,151.0535583,3516.54541,2521.281738,1242.314697,26.56505203,72.54971313,183.1999969,228,276,276,180
164,56.30993271,nan,nan,188,236,260,164,327.9862671,21.4415741,0.413927287,30.60765648,2376.143555,1082.434326,1211.384888,3435.268555,1159.36853,56.30993271,72.92523193,182.1333313,188,236,260,164
165,nan,73.30075836,nan,188,236,252,164,9.406214714,6.933051109,7.710434437,789.5341187,305.8648071,0.199305326,239.2987823,3407.025635,1135.804932,41.43749237,73.30075836,181.0666656,188,236,252,164
166,26.56505203,0,180,228,260,268,180,158.2404633,1.805707574,9.497959137,1021.340454,2983.115479,146.3026276,31.75276756,4100.136719,1142.565063,26.56505203,0,180,228,260,268,180
167,75.49983215,nan,nan,188,244,268,164,277.7021179,10.03744316,1.998197079,0.533560991,519.0097046,26.09604263,102.8622742,4016.832275,1126.981689,75.49983215,15.48187828,172,188,244,268,164
168,57.99461746,30.96375656,nan,212,324,204,324,75.42807007,8.745559692,0.869086504,1458.699829,199.5791168,119.5086975,3088.807861,4228.091309,1316.958374,57.99461746,30.96375656,164,212,324,204,324
169,80.53768158,nan,nan,180,244,252,156,103.8590546,26.44849205,1.154232979,444.9918213,521.7619629,320.5703735,1750.253174,3550.989014,1101.609863,80.53768158,33.07219315,156,180,244,252,156
170,88.78112793,nan,nan,172,236,244,148,2.619710445,12.50645733,0.080229439,352.3567505,745.7930298,3.757552385,2759.592529,1918.237793,1071.961792,88.78112793,35.18062973,148,172,236,244,148
171,71.56504822,nan,140,212,324,212,340,38.79294968,24.66778183,3.866450548,58.89232254,2285.506592,41.02987671,34.21374893,2204.169678,1336.854126,71.56504822,37.28907013,140,212,324,212,340
