Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal
377,nan,nan,nan,180.0,228.0,252.0,108.0
378,nan,nan,nan,188.0,236.0,252.0,108.0
379,nan,nan,nan,196.0,244.0,nan,nan
380,39.0938588862295,nan,nan,188.0,244.0,260.0,124.0
381,nan,nan,nan,180.0,236.0,260.0,132.0
382,57.52880770915151,nan,nan,204.0,348.0,204.0,340.0
383,63.43494882292201,nan,nan,180.0,244.0,244.0,140.0
384,56.309932474020215,nan,nan,180.0,244.0,244.0,148.0
385,56.309932474020215,nan,nan,180.0,244.0,244.0,164.0
386,73.90918365114783,nan,180.0,172.0,244.0,260.0,180.0
387,60.70863782901574,nan,180.0,204.0,348.0,204.0,340.0
388,71.20011484134736,56.309932474020215,180.0,204.0,348.0,204.0,340.0
389,38.08877288097532,nan,nan,204.0,332.0,252.0,180.0
390,28.412661443072587,45.0,nan,212.0,268.0,260.0,188.0
391,67.83365417791754,56.309932474020215,180.0,204.0,332.0,204.0,340.0
392,63.92464441605123,nan,180.0,204.0,332.0,204.0,340.0
393,65.34410125591839,nan,180.0,204.0,332.0,204.0,340.0
394,62.59242456218159,nan,180.0,204.0,332.0,204.0,340.0
395,70.40771810894847,66.80140948635182,172.0,204.0,332.0,204.0,340.0
396,82.30394827798344,45.0,nan,148.0,252.0,228.0,180.0
397,88.58557678859785,18.43494882292201,nan,148.0,252.0,220.0,180.0
398,nan,nan,nan,140.0,236.0,212.0,172.0
399,77.57405713457253,66.80140948635182,164.0,204.0,332.0,204.0,340.0
400,nan,nan,nan,148.0,252.0,204.0,172.0
401,66.80140948635182,nan,nan,140.0,252.0,188.0,164.0
402,nan,nan,nan,140.0,252.0,188.0,164.0
403,nan,nan,nan,204.0,260.0,204.0,164.0
404,nan,nan,nan,148.0,252.0,212.0,172.0
405,nan,nan,nan,148.0,252.0,220.0,180.0
406,nan,nan,nan,148.0,252.0,220.0,180.0
407,nan,45.0,nan,148.0,252.0,228.0,180.0
