Index, pgram
0,25.025576
1,0.059826564
2,0.16290581
3,0.017691666
4,0.04486999
5,0.1514104
6,0.08998397
7,0.032574233
8,0.002062525
9,0.062113367
10,0.0025367176
11,0.0113199735
12,0.059863817
13,0.00083453563
14,0.038838934
15,0.07949617
16,0.0049427506
17,0.06900777
18,0.006911444
19,0.007451812
20,0.035050247
21,0.06535142
22,0.004993921
23,0.020476505
24,0.056803655
25,0.0118827475
26,0.044326477
27,0.03505545
28,0.049338523
29,0.004995931
30,0.043676525
31,0.0068867533
32,0.034686506
33,0.052802786
34,0.0036402529
35,0.0015584225
36,0.018366013
37,0.004417041
38,0.018555729
39,0.021694178
40,0.01442472
41,0.029003536
42,0.011046244
43,0.010317834
44,0.0023068648
45,0.00041065845
46,0.012306459
47,0.01718507
48,0.016049102
49,0.007507808
50,0.04325705
51,0.016565233
52,0.002173658
53,0.011436432
54,0.00018809483
55,0.009681938
56,0.011882665
57,0.023601728
58,0.028886918
59,0.0036507086
60,0.015942823
61,0.057400662
62,0.003216974
63,0.010119117
64,0.028836008
65,0.0045382255
66,0.019551413
67,0.022572147
68,0.01346797
69,0.0041189417
70,0.0076051387
71,0.0016518394
72,0.009544059
73,0.00047043336
74,0.031335115
75,0.024834603
76,0.0057315915
77,0.006237536
78,0.01049484
79,0.03778553
80,0.04375388
81,0.014417366
82,0.010761932
83,0.010985982
84,0.0104795955
85,0.010598219
86,0.01697249
87,0.006677188
88,0.0015372818
89,0.01788255
90,0.0022808206
91,0.0041022385
92,0.0038030038
93,0.00912475
94,0.009970496
95,0.024113549
96,0.006184459
97,0.002092202
98,0.018256973
99,0.009396821
100,0.013206961
101,0.0014423854
102,0.022209562
103,0.003921591
104,0.017163703
105,0.014311952
106,0.00043016448
107,0.007493929
108,0.0066842274
109,0.0029898756
110,0.0002707887
111,0.008714072
112,0.009958293
113,0.0064706863
114,0.012753883
115,0.04112005
116,0.00874248
117,0.01708357
118,0.004255727
119,0.003989251
120,0.0047379932
121,0.005377834
122,0.0019081989
123,0.0013321545
124,0.004528812
125,0.0019534298
126,0.022003675
127,0.0019806041
128,0.0029860693
129,0.0019806041
