Index, rightLegAngleSignal, leftLegAngleSignal, yPositionOfNoseSignal, xPositionOfRHipSignal, yPositionOfRHipSignal, xPositionOfLHipSignal, yPositionOfLHipSignal, pgram_rightLegAngleSignal, pgram_leftLegAngleSignal, pgram_yPositionOfNoseSignal, pgram_xPositionOfRHipSignal, pgram_yPositionOfRhipSignal, pgram_xPositionOfLHipSignal, pgram_yPositionOfLhipSignal, pgram_all,rightLegAngleSignal_interpolated, leftLegAngleSignal_interpolated, yPositionOfNoseSignal_interpolated, xPositionOfRHipSignal_interpolated, yPositionOfRHipSignal_interpolated, xPositionOfLHipSignal_interpolated, yPositionOfLHipSignal_interpolated
53,74.74488067626953,66.80140686035156,164.0,220.0,324.0,212.0,324.0,306.26611328125,645.6375122070312,866.7685546875,758.2493896484375,5657.95751953125,50.192291259765625,3.5602638721466064,1385.5462646484375,74.74488067626953,66.80140686035156,164.0,220.0,324.0,212.0,324.0
54,25.76932716369629,nan,nan,228.0,260.0,268.0,180.0,281.70458984375,583.198486328125,22.870933532714844,1541.8309326171875,121.48934173583984,72.0333023071289,2210.938720703125,1174.3035888671875,25.76932716369629,44.534271240234375,168.0,228.0,260.0,268.0,180.0
55,25.76932716369629,nan,nan,228.0,260.0,268.0,188.0,301.0925598144531,840.8223876953125,28.400678634643555,68.61748504638672,4483.51806640625,55.60751724243164,487.98779296875,1164.0364990234375,25.76932716369629,22.267135620117188,172.0,228.0,260.0,268.0,188.0
56,38.88449478149414,0.0,nan,212.0,324.0,268.0,180.0,4.625617027282715,8.849565505981445,25.463926315307617,1074.0924072265625,756.2288208007812,153.07005310058594,2066.654541015625,1198.884521484375,38.88449478149414,0.0,176.0,212.0,324.0,268.0,180.0
57,71.99584197998047,nan,180.0,212.0,324.0,212.0,340.0,15.67138385772705,335.5690002441406,62.4511604309082,1778.9561767578125,22589.646484375,715.4414672851562,5176.72216796875,1345.4461669921875,71.99584197998047,5.450352191925049,180.0,212.0,324.0,212.0,340.0
58,19.592281341552734,nan,180.0,228.0,268.0,276.0,180.0,175.8029327392578,916.7077026367188,847.053466796875,618.5891723632812,286.03997802734375,8.694548606872559,2471.995361328125,1162.492919921875,19.592281341552734,10.900704383850098,180.0,228.0,268.0,276.0,180.0
59,32.47119140625,nan,180.0,228.0,260.0,276.0,180.0,375.9877014160156,0.44839203357696533,566.6426391601562,341.9921569824219,831.71630859375,273.43243408203125,6106.01513671875,1172.822265625,32.47119140625,16.351057052612305,180.0,228.0,260.0,276.0,180.0
60,81.02737426757812,21.801408767700195,nan,212.0,332.0,212.0,332.0,1261.121826171875,272.0546569824219,50.468963623046875,367.1724548339844,351.94696044921875,9.667439460754395,16.663625717163086,1358.828857421875,81.02737426757812,21.801408767700195,168.0,212.0,332.0,212.0,332.0
61,53.130104064941406,54.46232223510742,156.0,212.0,332.0,212.0,324.0,46.1464729309082,53.09779739379883,0.32797545194625854,472.7105712890625,459.3615417480469,350.0990295410156,666.7092895507812,1343.5924072265625,53.130104064941406,54.46232223510742,156.0,212.0,332.0,212.0,324.0
62,39.559669494628906,nan,nan,212.0,332.0,276.0,148.0,756.282470703125,294.1371765136719,88.21001434326172,39.51103210449219,164.7834014892578,166.2646484375,6217.00244140625,1238.867919921875,39.559669494628906,51.3082160949707,180.0,212.0,332.0,276.0,148.0
63,31.4295654296875,nan,204.0,212.0,332.0,276.0,140.0,215.1400604248047,207.0437774658203,10.723320007324219,29.904062271118164,736.1460571289062,365.738525390625,1704.89111328125,1243.583740234375,31.4295654296875,48.15410614013672,204.0,212.0,332.0,276.0,140.0
64,49.63546371459961,45.0,nan,204.0,332.0,276.0,140.0,856.9791259765625,0.2944890558719635,689.6441650390625,1111.189208984375,111.8389663696289,383.6356201171875,39.99049758911133,1210.635498046875,49.63546371459961,45.0,164.0,204.0,332.0,276.0,140.0
65,65.22486114501953,14.036243438720703,124.0,204.0,332.0,212.0,332.0,1184.5364990234375,243.4759979248047,299.42578125,290.9468688964844,27.696575164794922,547.5112915039062,1807.7958984375,1283.2611083984375,65.22486114501953,14.036243438720703,124.0,204.0,332.0,212.0,332.0
66,nan,nan,nan,212.0,332.0,260.0,124.0,692.9158325195312,1710.0985107421875,421.1612854003906,756.8790283203125,3527.3173828125,499.2806701660156,555.6033325195312,1140.2098388671875,68.91184997558594,17.906713485717773,125.39130401611328,212.0,332.0,260.0,124.0
67,nan,nan,nan,260.0,116.0,nan,nan,11.695116996765137,70.12814331054688,52.020225524902344,158.9613494873047,37.773590087890625,791.613037109375,2158.533935546875,973.1586303710938,72.59883880615234,21.777183532714844,126.78260803222656,260.0,116.0,260.0,116.0
68,nan,nan,nan,204.0,332.0,260.0,108.0,1122.2781982421875,13.164724349975586,0.1824188083410263,103.7543716430664,8.706048011779785,2.8320083618164062,67.58628845214844,1134.107421875,76.28582763671875,25.64765167236328,128.17391967773438,204.0,332.0,260.0,108.0
69,nan,nan,nan,204.0,332.0,260.0,92.0,722.051025390625,30.864370346069336,22.25640869140625,1811.105712890625,1137.4664306640625,0.2425420582294464,8797.384765625,1127.05615234375,79.97281646728516,29.51812171936035,129.56521606445312,204.0,332.0,260.0,92.0
70,83.65980529785156,nan,nan,204.0,332.0,252.0,92.0,0.7054949998855591,15.47605037689209,52.65364456176758,28.190431594848633,9569.376953125,110.93445587158203,1737.0986328125,1128.0048828125,83.65980529785156,33.38859176635742,130.95652770996094,204.0,332.0,252.0,92.0
71,nan,nan,nan,252.0,92.0,nan,nan,93.97663116455078,0.005083540920168161,12.609577178955078,869.02197265625,156.67294311523438,1116.050537109375,234.57858276367188,930.997314453125,65.39044952392578,37.25905990600586,132.3478240966797,252.0,92.0,260.0,92.0
72,47.121097564697266,nan,nan,196.0,204.0,268.0,92.0,319.4936218261719,18.472986221313477,41.160919189453125,700.728271484375,5488.8662109375,1194.9659423828125,759.5096435546875,981.98974609375,47.121097564697266,41.12953186035156,133.7391357421875,196.0,204.0,268.0,92.0
73,47.121097564697266,45.0,nan,196.0,204.0,268.0,92.0,157.1410675048828,1359.151611328125,188.8479461669922,8.10763168334961,6819.0224609375,67.9833984375,1079.234619140625,987.2515258789062,47.121097564697266,45.0,135.13043212890625,196.0,204.0,268.0,92.0
